BorrowerCreditScore,LoanAmount,LoanTerm,EmploymentStatus,AnnualIncome,DebtToIncomeRatio,PreviousDefaultHistory,TypeOfLoan,InterestRate,EconomicIndicators,ApproveLoan,LoanOfferAmount,InterestRateOffered,LoanTermOffered,AdditionalCollateralRequired,LoanPerformance,DefaultWithin12Months,RecoveryRate,CostOfRiskManagement
405,29354,Long-term,Employed,173390,20,No,Business,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,94,1758
776,33145,Long-term,Unemployed,95715,6,No,Personal,18,Stable,Yes,23928.75,18,Long-term,No,Performing,No,100,286
701,39020,Short-term,Retired,131435,21,No,Auto,9,Stable,Yes,32858.75,9,Short-term,No,Performing,No,100,1897
461,25587,Long-term,Unemployed,171538,34,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,91,1024
501,46131,Short-term,Employed,115742,17,Yes,Business,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,70,884
569,14650,Short-term,Self-employed,65475,17,No,Business,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,93,3544
570,24933,Long-term,Retired,80142,47,No,Personal,10,Recession,No,0.0,0,N/A,No,Non-performing,Yes,42,3296
755,25581,Short-term,Self-employed,177636,25,No,Auto,14,Stable,Yes,25581.0,14,Short-term,No,Performing,No,100,1460
761,28393,Medium-term,Retired,173484,59,No,Mortgage,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,61,440
551,28051,Long-term,Unemployed,113526,44,No,Mortgage,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,70,662
595,31212,Medium-term,Unemployed,71001,19,Yes,Personal,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,99,4846
637,9090,Long-term,Unemployed,77649,56,No,Auto,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,3099
352,11960,Short-term,Unemployed,186589,57,No,Mortgage,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,23,1293
516,40772,Long-term,Unemployed,164228,56,No,Business,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,38,3210
487,26520,Medium-term,Self-employed,174136,34,Yes,Auto,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,67,168
679,41408,Short-term,Unemployed,45711,37,Yes,Mortgage,8,Growing,Yes,11427.75,8,Short-term,No,Non-performing,Yes,92,2528
792,33470,Long-term,Employed,50106,61,No,Auto,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,43,3698
340,25491,Long-term,Employed,85458,56,Yes,Personal,11,Recession,No,0.0,0,N/A,No,Non-performing,Yes,4,2472
456,6341,Long-term,Self-employed,167661,13,Yes,Auto,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,54,4656
314,49623,Medium-term,Retired,150429,58,No,Mortgage,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,943
364,29791,Medium-term,Employed,121754,5,No,Personal,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,29,673
820,5338,Long-term,Retired,158286,48,No,Auto,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,28,4314
643,10895,Short-term,Self-employed,146479,13,No,Business,3,Growing,Yes,10895.0,3,Short-term,Yes,Performing,No,100,2696
428,17254,Short-term,Retired,178199,36,No,Mortgage,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,25,4841
771,16344,Medium-term,Retired,156213,19,Yes,Personal,7,Stable,Yes,16344.0,7,Medium-term,No,Non-performing,Yes,82,1578
362,6750,Short-term,Retired,48884,16,No,Auto,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,25,2173
438,7421,Medium-term,Retired,22708,61,No,Business,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,36,1613
798,44887,Long-term,Self-employed,38375,12,No,Mortgage,4,Growing,Yes,9593.75,4,Long-term,No,Performing,No,100,1068
691,10319,Medium-term,Employed,35088,31,No,Business,17,Stable,Yes,8772.0,17,Medium-term,No,Performing,No,100,2296
718,20896,Medium-term,Unemployed,77615,66,Yes,Auto,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,90,1611
588,16918,Long-term,Retired,130138,16,No,Auto,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,93,754
678,30064,Short-term,Employed,196118,69,No,Personal,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,52,3092
789,32935,Medium-term,Employed,30014,46,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,29,4750
530,42641,Medium-term,Self-employed,154345,66,No,Personal,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,2,4620
340,34711,Long-term,Employed,198207,15,No,Mortgage,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,42,392
327,9806,Short-term,Self-employed,122842,47,No,Personal,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,6,2701
434,46360,Medium-term,Retired,181953,21,No,Mortgage,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,48,4626
500,17182,Long-term,Retired,98077,36,Yes,Auto,10,Recession,No,0.0,0,N/A,No,Non-performing,Yes,72,4512
332,27297,Medium-term,Unemployed,159784,44,No,Auto,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,40,4593
347,24541,Long-term,Unemployed,72874,27,No,Business,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,76,1688
802,33921,Short-term,Unemployed,89087,60,Yes,Mortgage,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,78,695
706,21774,Short-term,Employed,32297,10,No,Auto,16,Recession,Yes,8074.25,16,Short-term,No,Performing,No,100,2693
398,49813,Short-term,Retired,47128,54,No,Business,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,53,2223
846,42198,Short-term,Self-employed,88368,41,No,Business,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,68,2043
761,13820,Medium-term,Unemployed,98958,68,No,Personal,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,92,1015
304,29070,Medium-term,Self-employed,52920,58,Yes,Business,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,98,3969
517,9232,Short-term,Self-employed,162228,53,No,Auto,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,90,2894
802,16122,Short-term,Unemployed,162180,15,No,Personal,5,Stable,Yes,16122.0,5,Short-term,No,Performing,No,100,3178
697,20023,Short-term,Retired,182917,53,No,Mortgage,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,26,1075
692,13007,Medium-term,Unemployed,153872,25,No,Mortgage,13,Recession,Yes,13007.0,13,Medium-term,No,Performing,No,100,1175
506,22905,Short-term,Self-employed,193784,70,No,Auto,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,7,3089
314,46786,Short-term,Unemployed,153682,67,No,Auto,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,31,3567
760,34398,Short-term,Self-employed,97603,32,No,Personal,9,Growing,Yes,24400.75,9,Short-term,No,Performing,No,100,1551
540,39268,Long-term,Self-employed,53872,21,No,Personal,6,Recession,No,0.0,0,N/A,No,Non-performing,Yes,83,3923
395,11737,Short-term,Unemployed,30728,10,Yes,Auto,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,63,4032
784,41062,Long-term,Employed,115102,23,No,Auto,17,Recession,Yes,28775.5,17,Long-term,No,Performing,No,100,2128
706,30510,Long-term,Unemployed,142049,60,No,Mortgage,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,9,462
530,24426,Short-term,Employed,40583,32,Yes,Mortgage,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,12,2529
470,42265,Long-term,Self-employed,105774,70,No,Mortgage,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,62,3732
840,22850,Short-term,Self-employed,158335,42,No,Auto,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,2418
335,5614,Medium-term,Employed,146374,41,No,Business,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,34,3185
824,26776,Medium-term,Self-employed,170528,72,No,Auto,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,60,2445
459,29077,Medium-term,Employed,111118,53,Yes,Auto,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,53,3698
542,14374,Medium-term,Employed,85942,47,Yes,Mortgage,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,7,4429
385,40435,Long-term,Self-employed,33689,40,Yes,Auto,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,28,1831
327,35907,Short-term,Retired,184006,62,No,Personal,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,94,126
639,18409,Short-term,Employed,53276,17,Yes,Auto,13,Growing,Yes,13319.0,13,Short-term,Yes,Non-performing,Yes,40,192
630,21514,Short-term,Unemployed,121968,56,No,Auto,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,29,2764
805,34866,Medium-term,Unemployed,170945,62,No,Auto,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,85,408
647,7983,Medium-term,Self-employed,33050,36,No,Auto,13,Recession,Yes,7983.0,13,Medium-term,Yes,Performing,No,100,151
772,36705,Short-term,Retired,86216,64,No,Business,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,20,418
530,25662,Medium-term,Self-employed,104040,62,No,Auto,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,75,2092
489,28510,Short-term,Retired,41644,60,No,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,10,4376
524,17651,Short-term,Employed,82021,32,No,Personal,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,1,3991
684,45998,Short-term,Employed,188197,5,No,Auto,11,Recession,Yes,45998.0,11,Short-term,No,Performing,No,100,4842
676,33535,Short-term,Employed,62291,46,No,Mortgage,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,49,4056
582,11640,Short-term,Employed,186132,52,Yes,Business,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,40,2792
558,49547,Short-term,Unemployed,152610,44,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,65,3118
658,20317,Short-term,Unemployed,187248,67,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,97,2124
755,12564,Medium-term,Self-employed,61520,8,No,Auto,5,Stable,Yes,12564.0,5,Medium-term,No,Performing,No,100,4531
710,32345,Short-term,Retired,45675,42,No,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,2,1625
617,33687,Short-term,Employed,169359,31,No,Mortgage,16,Growing,Yes,33687.0,16,Short-term,Yes,Performing,No,100,1378
524,18737,Medium-term,Employed,20174,13,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,79,613
533,14323,Medium-term,Retired,112268,20,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,4437
673,20229,Medium-term,Retired,54998,60,Yes,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,67,1833
771,49481,Short-term,Self-employed,163184,35,Yes,Business,13,Stable,Yes,40796.0,13,Short-term,No,Non-performing,Yes,86,3470
532,13502,Long-term,Retired,125410,18,No,Mortgage,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,83,4021
412,5545,Long-term,Employed,95225,29,No,Personal,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,24,2600
796,42114,Medium-term,Employed,64814,38,No,Personal,14,Growing,Yes,16203.5,14,Medium-term,No,Performing,No,100,3564
741,34430,Long-term,Employed,105091,71,No,Mortgage,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,29,2359
567,14996,Medium-term,Employed,70719,28,No,Mortgage,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,81,4863
809,32788,Short-term,Employed,149887,30,No,Business,6,Recession,Yes,32788.0,6,Short-term,No,Performing,No,100,4789
685,34969,Long-term,Self-employed,53919,24,No,Mortgage,16,Stable,Yes,13479.75,16,Long-term,No,Performing,No,100,2759
686,18919,Short-term,Employed,93155,68,No,Personal,10,Recession,No,0.0,0,N/A,No,Non-performing,Yes,10,355
412,8810,Long-term,Self-employed,91569,14,No,Auto,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,92,1602
380,35586,Short-term,Employed,61328,71,No,Mortgage,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,16,4756
412,44974,Long-term,Unemployed,44618,28,No,Mortgage,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,25,2210
301,46773,Short-term,Unemployed,54675,9,No,Business,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,22,506
519,21371,Short-term,Unemployed,38919,71,No,Business,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,55,2949
524,34629,Long-term,Unemployed,24173,62,No,Mortgage,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,51,3276
684,13436,Short-term,Self-employed,129369,31,No,Personal,19,Growing,Yes,13436.0,19,Short-term,No,Performing,No,100,1960
702,17984,Short-term,Self-employed,46400,19,Yes,Personal,13,Growing,Yes,11600.0,13,Short-term,No,Non-performing,Yes,47,4454
429,38039,Short-term,Retired,90305,39,No,Auto,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,19,822
352,24895,Long-term,Employed,188636,57,Yes,Mortgage,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,1,1382
715,23155,Long-term,Unemployed,196886,48,No,Business,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,87,713
546,15616,Short-term,Self-employed,108791,30,No,Personal,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,30,3431
738,42129,Short-term,Employed,179034,51,No,Auto,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,26,3216
502,44837,Long-term,Employed,90533,38,Yes,Mortgage,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,1,2078
483,29574,Long-term,Self-employed,123591,54,No,Personal,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,77,912
422,8430,Short-term,Unemployed,161650,16,No,Mortgage,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,3,1886
700,17676,Short-term,Retired,151060,8,No,Mortgage,4,Growing,Yes,17676.0,4,Short-term,No,Performing,No,100,430
593,15816,Short-term,Employed,169696,52,No,Personal,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,12,2312
579,37733,Medium-term,Retired,59194,59,No,Personal,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,99,1316
497,25144,Long-term,Unemployed,129903,5,No,Personal,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,34,4582
810,7050,Medium-term,Unemployed,151461,70,Yes,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,71,3437
443,49460,Long-term,Retired,119303,34,No,Mortgage,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,65,2475
500,38933,Long-term,Unemployed,133903,7,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,5,1340
423,29951,Long-term,Employed,87391,25,No,Business,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,30,419
486,37413,Long-term,Retired,164866,53,No,Mortgage,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,9,4594
625,39801,Long-term,Unemployed,78002,66,No,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,20,2014
763,37913,Long-term,Retired,55531,42,Yes,Personal,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,73,4300
648,45600,Long-term,Employed,24986,19,No,Mortgage,7,Recession,Yes,6246.5,7,Long-term,Yes,Performing,No,100,4891
702,30280,Medium-term,Unemployed,52298,56,No,Auto,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,22,429
645,29557,Short-term,Employed,21481,50,Yes,Auto,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,2,759
810,40400,Short-term,Unemployed,76408,29,Yes,Business,10,Growing,Yes,19102.0,10,Short-term,No,Non-performing,Yes,31,3788
446,9494,Medium-term,Self-employed,141950,25,No,Personal,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,19,3218
447,20152,Medium-term,Unemployed,167907,9,Yes,Business,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,73,2072
788,28895,Medium-term,Retired,145355,74,Yes,Personal,13,Recession,No,0.0,0,N/A,No,Non-performing,Yes,28,1893
637,14155,Medium-term,Unemployed,47798,51,No,Auto,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,51,3318
772,36883,Long-term,Employed,111649,72,Yes,Business,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,45,4657
450,48194,Short-term,Employed,84887,22,No,Auto,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,33,2633
714,48001,Long-term,Unemployed,39477,25,No,Auto,13,Growing,Yes,9869.25,13,Long-term,No,Performing,No,100,2557
597,6828,Short-term,Retired,168338,27,No,Personal,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,83,3200
562,46898,Short-term,Self-employed,147815,68,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,60,4466
443,37123,Medium-term,Retired,194598,71,No,Business,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,71,2833
645,42573,Long-term,Self-employed,147426,44,No,Auto,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,70,4580
301,5806,Medium-term,Employed,162961,14,No,Auto,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,69,4255
603,45970,Long-term,Retired,44335,56,No,Personal,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,10,319
553,34757,Short-term,Self-employed,162326,65,No,Mortgage,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,81,2918
752,39636,Medium-term,Unemployed,106610,68,No,Mortgage,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,2006
336,19561,Medium-term,Employed,31442,9,No,Auto,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,88,2711
459,29262,Short-term,Unemployed,66289,57,Yes,Mortgage,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,62,2693
308,19899,Short-term,Employed,73747,59,No,Mortgage,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,20,195
532,20934,Short-term,Retired,57327,41,Yes,Mortgage,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,2,1088
398,43197,Medium-term,Retired,167271,60,No,Mortgage,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,81,1212
507,46844,Long-term,Employed,92827,63,No,Auto,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,87,2378
430,41332,Medium-term,Employed,126464,73,No,Mortgage,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,9,345
703,39157,Long-term,Employed,151184,63,No,Mortgage,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,26,2258
451,16593,Medium-term,Retired,107051,6,No,Personal,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,11,4429
353,45042,Medium-term,Self-employed,170653,69,No,Auto,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,6,3449
419,22320,Short-term,Unemployed,79722,64,Yes,Business,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,2825
719,32376,Long-term,Unemployed,112036,55,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,64,4177
721,48513,Medium-term,Retired,167595,34,No,Personal,17,Growing,Yes,41898.75,17,Medium-term,No,Performing,No,100,4998
403,19199,Medium-term,Unemployed,86960,15,No,Personal,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,63,2766
553,20876,Short-term,Employed,39552,43,No,Auto,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,25,3299
526,13245,Short-term,Self-employed,161880,67,Yes,Business,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,14,2854
411,12214,Long-term,Unemployed,174692,68,No,Mortgage,10,Recession,No,0.0,0,N/A,No,Non-performing,Yes,32,1517
809,5726,Medium-term,Self-employed,20887,65,No,Personal,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,61,754
772,16362,Long-term,Employed,51802,58,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,46,2542
398,23297,Medium-term,Unemployed,105024,62,No,Auto,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,94,210
452,35448,Long-term,Retired,138639,60,No,Mortgage,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,34,189
637,31172,Short-term,Self-employed,138248,38,No,Auto,6,Growing,Yes,31172.0,6,Short-term,Yes,Performing,No,100,862
462,47874,Medium-term,Employed,101938,35,No,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,64,3272
